nombre,instagram,website,maps_url
Pizzas Roquefort - Almería,https://instagram.com/roquefort_pizzas?igshid=YmMyMTA2M2Y=,https://instagram.com/roquefort_pizzas?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/Pizzas+Roquefort+-+Almer%C3%ADa/data=!4m7!3m6!1s0x8e4429f9d649e92f:0xcae703ebb726a383!8m2!3d6.2440887!4d-75.6114211!16s%2Fg%2F11gjv0f11w!19sChIJL-lJ1vkpRI4Rg6Mmt-sD58o?authuser=0&hl=en&rclk=1
Pacho. Pizzas y Pastas (Belén Malibú),https://www.instagram.com/pachopizzasypastas,https://www.instagram.com/pachopizzasypastas,https://www.google.com/maps/place/Pacho.+Pizzas+y+Pastas+%28Bel%C3%A9n+Malib%C3%BA%29/data=!4m7!3m6!1s0x8e44290053acbc85:0xbfc29c2e0f0ea2f4!8m2!3d6.2337015!4d-75.5861393!16s%2Fg%2F11y54nvbff!19sChIJhbysUwApRI4R9KIODy6cwr8?authuser=0&hl=en&rclk=1
Montés Porchetteria Palmagrande Mall,https://www.instagram.com/montes_porchetteria/,https://www.instagram.com/montes_porchetteria/,https://www.google.com/maps/place/Mont%C3%A9s+Porchetteria+Palmagrande+Mall/data=!4m7!3m6!1s0x8e442902d1a7d297:0xd0485ccdd9801908!8m2!3d6.2195618!4d-75.5665475!16s%2Fg%2F11kjm1vc65!19sChIJl9Kn0QIpRI4RCBmA2c1cSNA?authuser=0&hl=en&rclk=1
Aross Pizza a la Leña,https://www.instagram.com/aross.pizzaalalena/,https://www.instagram.com/aross.pizzaalalena/,https://www.google.com/maps/place/Aross+Pizza+a+la+Le%C3%B1a/data=!4m7!3m6!1s0x8e4429a01ace1da5:0xbeec49f7b73345f8!8m2!3d6.2484525!4d-75.5969215!16s%2Fg%2F11byck7c_4!19sChIJpR3OGqApRI4R-EUzt_dJ7L4?authuser=0&hl=en&rclk=1
Peroni Pizzería,http://www.instagram.com/peronipizzeria,http://www.instagram.com/peronipizzeria,https://www.google.com/maps/place/Peroni+Pizzer%C3%ADa/data=!4m7!3m6!1s0x8e442858aa6eefc1:0x23f78d624e03cca1!8m2!3d6.2480098!4d-75.556992!16s%2Fg%2F11crst8nh4!19sChIJwe9uqlgoRI4RocwDTmKN9yM?authuser=0&hl=en&rclk=1
Pizzeria Olivia Manila,https://www.instagram.com/olivia_restaurante/,https://www.instagram.com/olivia_restaurante/,https://www.google.com/maps/place/Pizzeria+Olivia+Manila/data=!4m7!3m6!1s0x8e44282cbfe4f08f:0x23f9c36fb8f7a288!8m2!3d6.2137196!4d-75.5728704!16s%2Fg%2F11bxfhw_ky!19sChIJj_DkvywoRI4RiKL3uG_D-SM?authuser=0&hl=en&rclk=1
Italian American Grill,https://www.instagram.com/italianamericangrill/,https://www.instagram.com/italianamericangrill/,https://www.google.com/maps/place/Italian+American+Grill/data=!4m7!3m6!1s0x8e4429ff085b4dc3:0xf2d148afb7df341f!8m2!3d6.2534922!4d-75.5834839!16s%2Fg%2F11qgdgmvzv!19sChIJw01bCP8pRI4RHzTft69I0fI?authuser=0&hl=en&rclk=1
ÁTTIMO GELATO,https://www.instagram.com/attimogelato?igsh=MTNtMWZwc3U1ZHJ6MA==,https://www.instagram.com/attimogelato?igsh=MTNtMWZwc3U1ZHJ6MA==,https://www.google.com/maps/place/%C3%81TTIMO+GELATO/data=!4m7!3m6!1s0x8e4429f99c3cd50f:0xe8d0e890a494877d!8m2!3d6.24426!4d-75.5956538!16s%2Fg%2F11flfj0z6h!19sChIJD9U8nPkpRI4RfYeUpJDo0Og?authuser=0&hl=en&rclk=1
Pistacchio Gelato y Café,https://www.instagram.com/pistacchio.mde/,https://www.instagram.com/pistacchio.mde/,https://www.google.com/maps/place/Pistacchio+Gelato+y+Caf%C3%A9/data=!4m7!3m6!1s0x8e4429f91675b28b:0xe7924321c22bdc02!8m2!3d6.2561687!4d-75.6018038!16s%2Fg%2F11tbtw98qm!19sChIJi7J1FvkpRI4RAtwrwiFDkuc?authuser=0&hl=en&rclk=1
Neon Cream,https://www.instagram.com/neon_creams,https://www.instagram.com/neon_creams,https://www.google.com/maps/place/Neon+Cream/data=!4m7!3m6!1s0x8e44294998752fed:0x956a69c977d8dd04!8m2!3d6.2635842!4d-75.56789!16s%2Fg%2F11xdl338z3!19sChIJ7S91mEkpRI4RBN3Yd8lpapU?authuser=0&hl=en&rclk=1
Pink & Black Gelato,https://www.instagram.com/pinkblackgelato/,https://www.instagram.com/pinkblackgelato/,https://www.google.com/maps/place/Pink+%26+Black+Gelato/data=!4m7!3m6!1s0x8e4429000c5f1a25:0xdb0eb83e4532c686!8m2!3d6.2467692!4d-75.5947814!16s%2Fg%2F11ww51t2hx!19sChIJJRpfDAApRI4RhsYyRT64Dts?authuser=0&hl=en&rclk=1
Helados del Jardín Med,https://instagram.com/heladosdeljardinmed,https://instagram.com/heladosdeljardinmed,https://www.google.com/maps/place/Helados+del+Jard%C3%ADn+Med/data=!4m7!3m6!1s0x8e442929a8f4c7c7:0xf765bf4c90c1a8ee!8m2!3d6.2326664!4d-75.5921965!16s%2Fg%2F11pxlf70wg!19sChIJx8f0qCkpRI4R7qjBkEy_Zfc?authuser=0&hl=en&rclk=1
Heladería los espejos,https://www.instagram.com/heladerialos_espejos?igsh=MTE4cG9jdWhhaWx2ZQ%3D%3D&utm_source=qr,https://www.instagram.com/heladerialos_espejos?igsh=MTE4cG9jdWhhaWx2ZQ%3D%3D&utm_source=qr,https://www.google.com/maps/place/Helader%C3%ADa+los+espejos/data=!4m7!3m6!1s0x8e44298fee5d1c7d:0xec6027a3eedb5705!8m2!3d6.2375804!4d-75.5614517!16s%2Fg%2F11wvkhywbh!19sChIJfRxd7o8pRI4RBVfb7qMnYOw?authuser=0&hl=en&rclk=1
Depapayita,https://instagram.com/depapayita?igshid=YmMyMTA2M2Y=,https://instagram.com/depapayita?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/Depapayita/data=!4m7!3m6!1s0x8e4428f9a224e155:0xc4d323ef3602c62b!8m2!3d6.2521473!4d-75.5651868!16s%2Fg%2F1ptykts0d!19sChIJVeEkovkoRI4RK8YCNu8j08Q?authuser=0&hl=en&rclk=1
Dulce Juanita,https://www.instagram.com/dulcejuanitamedellin/,https://www.instagram.com/dulcejuanitamedellin/,https://www.google.com/maps/place/Dulce+Juanita/data=!4m7!3m6!1s0x8e44291839da8cf7:0x27260945e9bf1c6c!8m2!3d6.2535392!4d-75.5835837!16s%2Fg%2F11v556d87s!19sChIJ94zaORgpRI4RbBy_6UUJJic?authuser=0&hl=en&rclk=1
Panaderia Y Pasteleria La Gran Cosecha,https://instagram.com/panaderialagrancosecha?igshid=YmMyMTA2M2Y=,https://instagram.com/panaderialagrancosecha?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/Panaderia+Y+Pasteleria+La+Gran+Cosecha/data=!4m7!3m6!1s0x8e44293ed69354b7:0x3791fbdf7b7faac5!8m2!3d6.2556869!4d-75.5813543!16s%2Fg%2F11sjlzlzjf!19sChIJt1ST1j4pRI4Rxap_e9_7kTc?authuser=0&hl=en&rclk=1
Reposteria Paulina,https://www.instagram.com/reposteriapaulinamedellin/,https://www.instagram.com/reposteriapaulinamedellin/,https://www.google.com/maps/place/Reposteria+Paulina/data=!4m7!3m6!1s0x8e4429adb8db82d1:0x4200335e32c90f8b!8m2!3d6.2327084!4d-75.5916873!16s%2Fg%2F11s7vrprvb!19sChIJ0YLbuK0pRI4Riw_JMl4zAEI?authuser=0&hl=en&rclk=1
Panadería La Exposición del Pastel,https://www.instagram.com/expopastel/,https://www.instagram.com/expopastel/,https://www.google.com/maps/place/Panader%C3%ADa+La+Exposici%C3%B3n+del+Pastel/data=!4m7!3m6!1s0x8e442852a4a3d863:0x3adeb65018858a6e!8m2!3d6.2388455!4d-75.5731852!16s%2Fg%2F1ptx08cjx!19sChIJY9ijpFIoRI4RboqFGFC23jo?authuser=0&hl=en&rclk=1
Soluciones Reposteras,https://instagram.com/solucionesreposterasmed?utm_medium=copy_link,https://instagram.com/solucionesreposterasmed?utm_medium=copy_link,https://www.google.com/maps/place/Soluciones+Reposteras/data=!4m7!3m6!1s0x8e44290501ac6a6f:0xb7ee065baf4c57cf!8m2!3d6.2568021!4d-75.5831876!16s%2Fg%2F1ptwm442z!19sChIJb2qsAQUpRI4Rz1dMr1sG7rc?authuser=0&hl=en&rclk=1
Hojaldreria Bakery. MIGAOS,https://www.instagram.com/hojaldreriabakery/,https://www.instagram.com/hojaldreriabakery/,https://www.google.com/maps/place/Hojaldreria+Bakery.+MIGAOS/data=!4m7!3m6!1s0x8e44299bb42c9a4b:0x98fd3992feb1abe2!8m2!3d6.2456474!4d-75.5968846!16s%2Fg%2F11s9f0wn4p!19sChIJS5ostJspRI4R4qux_pI5_Zg?authuser=0&hl=en&rclk=1
SANTO MILAGRO REPOSTERIA,http://www.instagram.com/santomilagroreposteria,http://www.instagram.com/santomilagroreposteria,https://www.google.com/maps/place/SANTO+MILAGRO+REPOSTERIA/data=!4m7!3m6!1s0x8e44299a46e1b067:0x767406cf72fdf389!8m2!3d6.2362986!4d-75.5872316!16s%2Fg%2F11fp3vl5sz!19sChIJZ7DhRpopRI4RifP9cs8GdHY?authuser=0&hl=en&rclk=1
Milkytru Repostería,http://www.instagram.com/milkytrureposteria,http://www.instagram.com/milkytrureposteria,https://www.google.com/maps/place/Milkytru+Reposter%C3%ADa/data=!4m7!3m6!1s0x8e4429e2e8d0fcdb:0xbf9a6a32096b4268!8m2!3d6.2395948!4d-75.5905289!16s%2Fg%2F11ls8_15y1!19sChIJ2_zQ6OIpRI4RaEJrCTJqmr8?authuser=0&hl=en&rclk=1
